,State_FIPS10,County_FIPS10,ZCTA5,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_API_Other,NH_Asian_HPI_Other
0,,,00601,13806,13739,67,64,1,1,1,0,0,0,0,0,0,0,0
1,,,00602,31696,31496,200,168,12,0,11,4,5,1,0,0,0,0,0
2,,,00603,41785,41128,657,509,86,2,37,6,17,2,0,0,0,0,0
3,,,00606,4953,4919,34,27,2,0,4,0,1,1,0,0,0,0,0
4,,,00610,22048,21857,191,155,20,0,8,4,4,0,0,0,0,0,0
5,,,00612,51720,51255,465,358,31,4,43,10,19,1,0,0,0,1,0
6,,,00616,8449,8407,42,26,11,1,1,2,1,0,0,0,0,0,0
7,,,00617,18319,18208,111,80,14,0,14,3,0,0,0,0,0,0,0
8,,,00622,6276,6139,137,123,8,0,1,0,5,0,0,0,0,0,0
9,,,00623,32733,32407,326,272,19,1,18,7,9,0,0,0,0,0,0
10,,,00624,19089,18970,119,93,13,0,10,0,3,0,1,0,0,0,0
11,,,00627,26501,26328,173,148,7,6,7,3,2,0,0,0,0,0,0
12,,,00631,1455,1447,8,6,0,0,2,0,0,0,0,0,0,0,0
13,,,00637,19040,18932,108,90,8,2,4,2,2,0,0,0,0,0,0
14,,,00638,14098,14049,49,37,5,0,0,4,3,0,0,0,1,0,0
15,,,00641,23517,23392,125,109,3,3,9,0,1,0,0,0,0,0,0
16,,,00646,28137,27582,555,453,37,3,38,13,11,1,0,0,0,0,0
17,,,00647,4784,4747,37,34,2,0,1,0,0,0,0,0,0,0,0
18,,,00650,11106,11035,71,57,7,0,6,0,1,0,0,0,0,0,0
19,,,00652,3465,3427,38,36,1,0,0,0,1,0,0,0,0,0,0
20,,,00653,9903,9842,61,47,8,2,3,1,0,0,0,0,0,0,0
21,,,00656,16019,15937,82,49,14,1,8,5,5,0,0,0,1,0,0
22,,,00659,31754,31469,285,217,28,3,22,9,6,0,1,0,0,0,0
23,,,00660,13557,13479,78,56,6,1,10,1,4,0,0,0,0,0,0
24,,,00662,32987,32647,340,275,25,0,26,9,5,1,0,0,0,0,0
25,,,00664,12168,12125,43,32,3,1,6,0,1,1,0,0,0,0,0
26,,,00667,19981,19831,150,125,8,1,13,2,1,0,0,0,0,0,0
27,,,00669,22560,22398,162,150,3,1,5,1,2,0,0,0,0,0,0
28,,,00670,7442,7396,46,41,1,0,1,1,2,0,0,0,0,0,0
29,,,00674,33237,32963,274,219,28,1,18,4,4,1,0,0,0,0,0
30,,,00676,29921,29749,172,141,12,2,11,1,5,1,0,0,0,0,0
31,,,00677,11830,11359,471,435,10,1,15,6,4,1,0,0,0,0,0
32,,,00678,20971,20823,148,127,5,0,13,1,2,0,0,0,1,0,0
33,,,00680,46366,45891,475,336,69,14,27,20,9,1,0,0,1,0,0
34,,,00682,25989,25647,342,207,37,1,78,9,10,0,0,0,0,0,0
35,,,00683,26237,26015,222,165,26,5,13,4,9,2,0,0,0,0,0
36,,,00685,32638,32411,227,183,19,1,15,2,7,1,0,0,0,0,0
37,,,00687,23553,23407,146,109,18,4,10,0,5,0,0,0,0,0,0
38,,,00688,10510,10431,79,57,12,0,5,3,2,1,0,0,0,0,0
39,,,00690,4726,4654,72,59,4,0,7,1,1,0,0,0,0,0,0
40,,,00692,27680,27314,366,262,53,7,28,8,8,0,0,0,0,2,0
41,,,00693,45557,45189,368,286,33,0,21,14,14,1,0,0,0,0,0
42,,,00694,259,258,1,1,0,0,0,0,0,0,0,0,0,0,0
43,,,00698,31734,31566,168,120,8,3,21,6,10,0,0,0,1,0,0
44,,,00703,21386,21272,114,87,8,0,6,10,3,1,0,0,0,0,0
45,,,00704,6040,6008,32,17,7,0,0,8,0,0,0,0,0,0,0
46,,,00705,19433,19293,140,112,7,0,3,2,16,0,0,0,0,0,0
47,,,00707,9271,9205,66,53,6,1,1,2,3,0,0,0,0,0,0
48,,,00714,14314,14172,142,96,26,0,3,5,12,2,0,0,8,0,0
49,,,00715,2852,2847,5,4,1,0,0,0,0,0,0,0,0,0,0
50,,,00716,25597,25302,295,237,16,1,29,1,11,0,0,0,1,0,0
51,,,00717,14231,14064,167,121,14,4,21,0,7,0,0,0,0,0,0
52,,,00718,19554,19378,176,123,25,1,14,3,10,0,0,0,1,0,0
53,,,00719,23258,23147,111,84,12,2,7,3,3,0,0,0,0,0,0
54,,,00720,16866,16794,72,60,3,1,5,1,2,1,0,0,0,0,0
55,,,00723,14610,14509,101,60,23,2,2,9,5,0,0,0,0,0,0
56,,,00725,67974,67303,671,467,84,6,57,33,24,0,0,1,0,0,0
57,,,00727,44135,43765,370,258,31,3,59,8,11,3,0,0,0,0,0
58,,,00728,34312,34048,264,194,21,1,18,6,24,2,1,0,0,0,0
59,,,00729,39519,39187,332,204,95,4,8,10,11,0,3,0,0,0,0
60,,,00730,26856,26654,202,158,17,4,9,5,9,2,2,0,0,0,0
61,,,00731,11505,11443,62,52,4,2,2,2,0,0,0,0,0,0,0
62,,,00735,10350,10201,149,110,21,0,8,3,7,0,0,0,0,1,0
63,,,00736,39288,39022,266,210,18,0,29,5,4,0,0,0,0,0,0
64,,,00738,26252,25735,517,356,84,5,37,17,18,0,1,0,0,0,0
65,,,00739,29766,29589,177,140,11,0,10,12,4,0,0,1,0,0,0
66,,,00740,1481,1445,36,26,6,0,0,0,4,0,1,0,0,0,0
67,,,00741,3743,3687,56,46,8,0,0,0,2,0,0,0,0,0,0
68,,,00745,41325,40847,478,329,62,7,44,22,14,1,0,1,0,0,0
69,,,00751,17074,16946,128,101,17,2,4,1,3,0,0,0,0,0,0
70,,,00754,30907,30749,158,123,12,1,10,8,4,0,0,0,0,0,0
71,,,00757,16504,16421,83,55,11,1,6,3,7,1,0,0,0,0,0
72,,,00765,6941,6472,469,402,46,3,4,2,12,0,0,0,0,0,0
73,,,00766,19195,19127,68,53,3,0,7,3,2,0,0,0,0,1,0
74,,,00767,28509,28316,193,122,43,1,7,5,15,3,0,2,0,0,0
75,,,00769,29517,29377,140,107,15,1,10,3,4,0,0,0,0,0,0
76,,,00771,28735,28533,202,150,15,2,13,11,11,1,0,0,0,0,0
77,,,00772,16772,16687,85,41,37,2,1,2,2,0,0,0,0,1,0
78,,,00773,14977,14636,341,244,50,5,20,11,11,2,0,0,0,1,0
79,,,00775,1382,1240,142,132,4,1,3,0,2,0,0,0,0,0,0
80,,,00777,29869,29634,235,163,41,2,10,6,13,0,0,0,0,0,0
81,,,00778,33590,33296,294,210,35,0,24,3,22,0,0,0,0,0,0
82,,,00780,9964,9917,47,39,1,0,6,1,0,0,0,0,0,0,0
83,,,00782,14431,14367,64,51,8,0,1,2,2,0,0,0,1,0,0
84,,,00783,27091,26926,165,131,16,0,4,8,6,0,1,0,0,0,0
85,,,00784,33137,32828,309,196,55,4,20,13,21,0,0,0,0,0,0
86,,,00786,274,272,2,2,0,0,0,0,0,0,0,0,0,0,0
87,,,00791,40822,40366,456,333,41,4,50,5,23,2,1,0,0,2,0
88,,,00794,22145,21990,155,126,11,2,4,5,7,0,0,0,0,0,0
89,,,00795,35432,35216,216,151,34,0,9,7,15,2,0,0,0,0,0
90,,,00901,5967,5552,415,335,54,2,15,3,6,0,0,0,0,0,0
91,,,00906,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0
92,,,00907,14973,14037,936,654,121,3,122,9,27,0,3,1,0,0,0
93,,,00909,4839,4758,81,43,24,0,6,1,7,0,0,0,0,0,0
94,,,00911,7381,6847,534,429,42,0,43,2,18,2,2,0,0,2,0
95,,,00912,5641,5523,118,64,38,2,9,1,4,0,1,0,0,0,0
96,,,00913,6248,6072,176,157,13,0,0,3,3,0,0,0,1,0,0
97,,,00915,24970,24609,361,173,140,10,9,15,14,2,3,1,0,0,0
98,,,00917,17282,17052,230,132,41,6,36,6,9,0,0,0,0,0,0
99,,,00918,14360,14098,262,196,18,1,39,4,4,0,0,0,0,0,0
100,,,00920,14669,14462,207,117,50,2,19,7,12,1,0,0,0,0,0
101,,,00921,28859,28478,381,243,67,2,44,11,14,2,0,0,0,0,0
102,,,00923,22331,22047,284,171,62,6,23,9,13,1,0,0,0,0,0
