,name,geo_id_raw,ZCTA5,State_FIPS20,County_FIPS20,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_Asian_HPI_Other,NH_API_Other
0,ZCTA5 00601,860Z200US00601,00601,,,14157,14104,53,37,1,0,0.0,5,10,7,0,0,0,0,0.0
1,ZCTA5 00602,860Z200US00602,00602,,,31500,31258,242,190,10,0,10.0,12,20,5,1,0,0,0,0.0
2,ZCTA5 00603,860Z200US00603,00603,,,41255,40571,684,490,68,5,43.0,29,49,19,0,0,0,0,0.0
3,ZCTA5 00606,860Z200US00606,00606,,,4135,4103,32,26,1,0,0.0,0,5,1,0,0,0,0,0.0
4,ZCTA5 00610,860Z200US00610,00610,,,21563,21373,190,141,14,0,9.0,12,14,8,0,0,0,0,0.0
5,ZCTA5 00611,860Z200US00611,00611,,,1389,1372,17,12,0,0,2.0,2,1,1,0,0,0,0,0.0
6,ZCTA5 00612,860Z200US00612,00612,,,52172,51715,457,333,42,0,33.0,35,14,5,0,0,0,0,0.0
7,ZCTA5 00616,860Z200US00616,00616,,,8208,8167,41,27,7,0,0.0,5,2,0,0,0,0,0,0.0
8,ZCTA5 00617,860Z200US00617,00617,,,18340,18251,89,55,8,12,1.0,7,6,0,0,0,0,0,0.0
9,ZCTA5 00622,860Z200US00622,00622,,,6649,6516,133,108,15,0,2.0,3,5,2,0,0,0,0,0.0
10,ZCTA5 00623,860Z200US00623,00623,,,32796,32408,388,289,19,3,30.0,29,18,5,0,0,0,0,0.0
11,ZCTA5 00624,860Z200US00624,00624,,,17567,17487,80,47,16,0,8.0,5,4,0,0,0,0,0,0.0
12,ZCTA5 00627,860Z200US00627,00627,,,27244,26982,262,220,8,3,5.0,11,15,1,5,0,0,0,0.0
13,ZCTA5 00631,860Z200US00631,00631,,,1165,1161,4,3,0,0,0.0,1,0,0,0,0,0,0,0.0
14,ZCTA5 00636,860Z200US00636,00636,,,492,482,10,9,1,0,0.0,0,0,0,0,0,0,0,0.0
15,ZCTA5 00637,860Z200US00637,00637,,,19136,19020,116,85,10,1,4.0,11,5,4,1,0,0,0,0.0
16,ZCTA5 00638,860Z200US00638,00638,,,14695,14600,95,52,5,3,14.0,18,3,0,0,0,0,0,0.0
17,ZCTA5 00641,860Z200US00641,00641,,,20200,20043,157,129,8,0,11.0,7,2,2,0,0,0,0,0.0
18,ZCTA5 00646,860Z200US00646,00646,,,29404,28509,895,686,54,3,69.0,29,54,12,8,0,0,0,0.0
19,ZCTA5 00647,860Z200US00647,00647,,,3960,3924,36,30,2,0,0.0,3,1,0,0,0,0,0,0.0
20,ZCTA5 00650,860Z200US00650,00650,,,11109,11054,55,34,6,0,4.0,7,4,1,0,0,0,0,0.0
21,ZCTA5 00652,860Z200US00652,00652,,,3227,3216,11,6,0,0,2.0,2,1,0,0,0,0,0,0.0
22,ZCTA5 00653,860Z200US00653,00653,,,7614,7535,79,59,12,0,0.0,3,5,1,3,0,0,0,0.0
23,ZCTA5 00656,860Z200US00656,00656,,,14841,14787,54,26,3,0,3.0,5,17,7,0,0,0,0,0.0
